ID;Filename;Link;Catalog;Title;Date;Creator;Contributor;Publisher;Width;Height;Scale;Shelfmark;;Remarks;Questions
1874/20395;203950001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20395;http://hdl.handle.net/1874/20395;Holãd;1558;[Sebastian Münster].;;[Basel] : [Heinrich Petri];140;210;Schaal [ca. 1:900.000].;Kaart *Blonk* HOL-1;;;
1874/20396;203960001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20396;http://hdl.handle.net/1874/20396;Holand;1574;[Sebastian Münster].;;[Basel] : [Heinrich Petri];140;210;Schaal [ca. 1: 900.000].;Kaart *Blonk* HOL-2;;;
1874/20397;203970001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20397;http://hdl.handle.net/1874/20397;Holand;1578;[Sebastian Münster].;;[Basel] : [Heinrich Petri];140;210;Schaal [ca. 1:900.000].;Kaart *Blonk* HOL-3;;;
1874/20398;203980001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20398;http://hdl.handle.net/1874/20398;Holandt;1628;;;[Basel] : [Heinrich Petri];140;210;Schaal [ca. 1:900.000].;Kaart *Blonk* HOL-4;;;
1874/20399;203990001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20399;http://hdl.handle.net/1874/20399;Holãd;1565;;;[Basel] : [Heinrich Petri];140;210;Schaal [ca. 1:900.000].;Kaart *Blonk* HOL-5;;;
1874/20400;204000001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20400;http://hdl.handle.net/1874/20400;Particuliere description du Conte d'Hollande, et pais d'Utrecht;1567;[Lodovico Guicciardini] ; [graveur: Corneel Muller];[Antwerpen] : [Willem Silvius];340;260;Schaal [ca. 1:650.000].;Kaart *Blonk* HOL-6;;;
1874/20401;204010001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20401;http://hdl.handle.net/1874/20401;Hollandiae antiquorum catthorum sedis nova descriptio, auctore Iacobo a Daventria;1595;[Abraham Ortelius] ; [graveur Frans Hogenberg].;"[Antwerpen] : [Abraham Ortelius ; Gilles Coppens van Diest]";490;350;Schaal [ca. 1:400.000].;Kaart *Blonk* HOL-7;;;
1874/20402;204020001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20402;http://hdl.handle.net/1874/20402;Hollanda;1576;[Giralomo Porro].;;"[Venetië] : Simon Galignani ; Giralomo Porro]";150;110;Schaal niet vast te stellen.;Kaart *Blonk* HOL-8;;;
1874/20403;204030001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20403;http://hdl.handle.net/1874/20403;Hollandt;1593;[Filips Galle, maker en graveur] ; [oorspr. maker: Abraham Ortelius].;[Antwerpen] : [Philips Galle];110;80;Schaal [ca. 1:1.800.000].;Kaart *Blonk* HOL-9;;;
1874/20404;204040001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20404;http://hdl.handle.net/1874/20404;Bescrivinge van dat vermarde en vruchtbaer graefschap van Hollant met dat geheele landt van Utrecht, dese landen sin eertiets bij den ouden Romeinen Batavia genaemt geweest, waer af dat het landt tusschen den Rhin ende de Wael noch tertiet den naem Betue behouden heeft, want gelick men noch tegenwordich sien can dat den Rhin in voerleden tijden doer Utrecht ende de stadt Leijden also sijnen cours oft loop aldaer inde zee genomen heeft, bij dat huus te Bretta, waer vã noch somige rowinen oft oude muragien inde zee liggê die welcke bij onsen tydê dry mael gesien sin te wetê int jaer 1520 eñ 1552 1562;1593;Joannes à Duetecum, Lucas à Duetecum fecerunt Nieumegen.;;[S.l.] : [s.n.];510;370;Schaal [ca. 1:400.000].;Kaart *Blonk* HOL-10;;;
